id,category,difficulty,question,expected_route,expected_sources,predicted_sources,router_correct,router_accuracy,route_type,returned_ids,returned_citations,recall_at_5,mrr,ndcg_at_5,citation_accuracy,metric_source,judge_relevance_grades,judge_reason,judge_error,latency_ms,answer,error
QUR-E-01,Quran,Easy,ما الآيات التي تذكر فرض الصيام في رمضان؟,Quran,quran,quran + hadith,False,0.0,multi_source,57f746e6-29cc-45c4-94fc-deb2b47a98c8 | 770febe4-521b-43c4-9ae9-1f8cd0c447be | 139705 | 69576 | 87620,[Quran سورة البقرة 183] | [Quran سورة البقرة 185],1.0,1.0,1.0,1.0,llm_judge,,,,10949.96,"الأدلة من القرآن الكريم على فرضية صيام شهر رمضان جاءت في سورة البقرة، حيث خاطب الله تعالى المؤمنين بفرض الصيام عليهم كما فُرض على الأمم السابقة، وذلك في قوله تعالى: ""يَاأَيُّهَا الَّذِينَ آمَنُوا كُتِبَ عَلَيْكُمُ الصِّيَامُ كَمَا كُتِبَ عَلَى الَّذِينَ مِنْ قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ"" [Quran سورة البقرة 183].

ثم بين الله تعالى في الآيات اللاحقة أن هذا الصيام هو شهر رمضان، وأمر من شهده من المكلفين بصيامه، مع بيان الرخص للمريض والمسافر، في قوله تعالى: ""شَهْرُ رَمَضَانَ الَّذِي أُنْزِلَ فِيهِ الْقُرْآنُ هُدًى لِلنَّاسِ وَبَيِّنَاتٍ مِنَ الْهُدَى وَالْفُرْقَانِ ۚ فَمَنْ شَهِدَ مِنْكُمُ الشَّهْرَ فَلْيَصُمْهُ وَمَنْ كَانَ مَرِيضًا أَوْ عَلَى سَفَرٍ فَعِدَّةٌ مِنْ أَيَّامٍ أُخَرَ يُرِيدُ اللَّهُ بِكُمُ الْيُسْرَ وَلَا يُرِيدُ بِكُمُ الْعُسْرَ وَلِتُكْمِلُوا الْعِدَّةَ وَلِتُكَبِّرُوا اللَّهَ عَلَى مَا هَدَاكُمْ وَلَعَلَّكُمْ تَشْكُرُونَ"" [Quran سورة البقرة 185].",
QUR-E-02,Quran,Easy,ما الآية التي تنهى عن الغيبة؟,Quran,quran,quran,True,1.0,single_source,ef4faaee-6c43-46ba-9d70-890b562614fb | 0aa944a9-4308-4e9f-b439-485e4a6f8603 | 81f36c05-1ef5-4868-a08a-0269fd3fafe8 | e8a8256b-4157-4144-86aa-5aa5d05e2aca,[Quran سورة سَبَأ 3-5] | [Quran سورة الأعراف 49] | [Quran سورة الصافات 103] | [Quran سورة ص 35],0.0,0.0,0.0,0.0,llm_judge,,,,55491.9,بناءً على الأدلة المتوفرة في قاعدة البيانات، لا توجد آية في النصوص المذكورة أعلاه تنهى صراحةً عن الغيبة. الأدلة المقدمة تتناول مواضيع أخرى مثل إثبات البعث، وقصص الأنبياء عليهم السلام، ومحاورة أصحاب الأعراف.,
QUR-E-03,Quran,Easy,ما الآية التي تصف الله بأنه نور السماوات والأرض؟,Quran,quran,quran,True,1.0,single_source,b23fd170-6cc5-4f39-bc55-b70f9c3403ca | 9b370b3f-df1b-426d-a024-576e2f98f6a2 | f994ec39-d764-4e5a-ba3b-d832918fab98 | 5b9b1e7a-532c-4466-ab75-4e72ea565d56,[Quran سورة النور 35],1.0,1.0,1.0,1.0,llm_judge,,,,6161.36,"الآية التي تصف الله بأنه نور السماوات والأرض هي الآية الخامسة والثلاثون من سورة النور، حيث يقول الله تعالى: ""اللَّهُ نُورُ السَّمَاوَاتِ وَالْأَرْضِ ۚ مَثَلُ نُورِهِ كَمِشْكَاةٍ فِيهَا مِصْبَاحٌ الْمِصْبَاحُ فِي زُجَاجَةٍ الزُّجَاجَةُ كَأَنَّهَا كَوْكَبٌ دُرِّيٌّ يُوقَدُ مِنْ شَجَرَةٍ مُبَارَكَةٍ زَيْتُونَةٍ لَا شَرْقِيَّةٍ وَلَا غَرْبِيَّةٍ يَكَادُ زَيْتُهَا يُضِيءُ وَلَوْ لَمْ تَمْسَسْهُ نَارٌ ۚ نُورٌ عَلَى نُورٍ يَهْدِي اللَّهُ لِنُورِهِ مَنْ يَشَاءُ ۚ وَيَضْرِبُ اللَّهُ الْأَمْثَالَ لِلنَّاسِ وَاللَّهُ بِكُلِّ شَيْءٍ عَلِيمٌ"".

وقد أوضح المفسرون، كصاحبي تفسير الجلالين، أن معنى ""الله نور السماوات والأرض"" هو أنه منورهما بالشمس والقمر، وأن مثل نوره في قلب المؤمن هو هدايته له، حيث يجمع الله للمؤمن نور الإيمان ونور الهداية، وهو ما عبرت عنه الآية بـ ""نور على نور"" [Quran سورة النور 35].",
QUR-E-04,Quran,Easy,ما السورة التي تبدأ بقول الله: قل هو الله أحد؟,Quran,quran,quran,True,1.0,single_source,,,0.0,0.0,0.0,0.0,llm_judge,,,,48405.12,لم أجد في المقاطع المسترجعة دليلاً كافياً للإجابة بثقة. جرّب صياغة السؤال بذكر السورة أو الآية أو نص الحديث أو الباب الفقهي المقصود.,
QUR-E-05,Quran,Easy,ما الآية التي تأمر ببر الوالدين والإحسان إليهما؟,Quran,quran,quran,True,1.0,single_source,653633de-eb94-4252-b7cc-4e28061fb5bb | fe9cf1c2-5b84-42fb-a721-7c4d57ccc581 | c2e05888-ad70-48db-a9d7-307b916855e2,[Quran سورة الأحقاف 15-18] | [Quran سورة الإسراء 22-30] | [Quran سورة الأنعام 151-153],1.0,1.0,1.0,1.0,llm_judge,,,,11153.32,"لقد أمر الله تعالى ببر الوالدين والإحسان إليهما في مواضع متعددة من القرآن الكريم، وغالباً ما يقترن هذا الأمر بعبادة الله وحده وتوحيده، مما يدل على عظم مكانة الوالدين في الإسلام. ومن أبرز هذه الآيات:

الأدلة من القرآن:

1. في سورة الإسراء، يقول الله تعالى: ""وَقَضَى رَبُّكَ أَلَّا تَعْبُدُوا إِلَّا إِيَّاهُ وَبِالْوَالِدَيْنِ إِحْسَانًا ۚ إِمَّا يَبْلُغَنَّ عِنْدَكَ الْكِبَرَ أَحَدُهُمَا أَوْ كِلَاهُمَا فَلَا تَقُلْ لَهُمَا أُفٍّ وَلَا تَنْهَرْهُمَا وَقُلْ لَهُمَا قَوْلًا كَرِيمًا * وَاخْفِضْ لَهُمَا جَنَاحَ الذُّلِّ مِنَ الرَّحْمَةِ وَقُلْ رَبِّ ارْحَمْهُمَا كَمَا رَبَّيَانِي صَغِيرًا"" [Quran سورة الإسراء 22-30]. وتوضح هذه الآيات وجوب الإحسان إليهما، والنهي عن أدنى مراتب الإساءة (التأفيف)، والأمر بالدعاء لهما بالرحمة اعترافاً بفضلهما في التربية.

2. في سورة الأنعام، جاء الأمر بالإحسان إليهما ضمن الوصايا الإلهية الجامعة، حيث يقول تعالى: ""قُلْ تَعَالَوْا أَتْلُ مَا حَرَّمَ رَبُّكُمْ عَلَيْكُمْ ۖ أَلَّا تُشْرِكُوا بِهِ شَيْئًا ۖ وَبِالْوَالِدَيْنِ إِحْسَانًا"" [Quran سورة الأنعام 151-153].

3. في سورة الأحقاف، يؤكد الله تعالى على هذه الوصية مع بيان مشقة الحمل والتربية، حيث يقول: ""وَوَصَّيْنَا الْإِنْسَانَ بِوَالِدَيْهِ إِحْسَانًا ۖ حَمَلَتْهُ أُمُّهُ كُرْهًا وَوَضَعَتْهُ كُرْهًا ۖ وَحَمْلُهُ وَفِصَالُهُ ثَلَاثُونَ شَهْرًا"" [Quran سورة الأحقاف 15-18].",
QUR-E-06,Quran,Easy,ما الآية التي تذكر أن مع العسر يسرا؟,Quran,quran,quran,True,1.0,single_source,11e792dd-884c-4eef-aa2b-f7af6d3f0261 | fa45c66b-b007-4df8-ae2b-118a07268c49 | ae7fd2fa-5a37-4cc9-b164-101a3ccda170 | 601567ce-2681-46a8-ae34-08cf26dbb264,[Quran سورة الشرح 5] | [Quran سورة الشرح 6],1.0,1.0,1.0,1.0,llm_judge,,,,48632.33,"الآية التي تذكر أن مع العسر يسراً هي قول الله تعالى في سورة الشرح: ""فَإِنَّ مَعَ الْعُسْرِ يُسْرًا * إِنَّ مَعَ الْعُسْرِ يُسْرًا"" [Quran سورة الشرح 5] [Quran سورة الشرح 6].

ويوضح التفسير الميسر (كالجلالين) أن العسر هو الشدة، وأن اليسر هو السهولة التي تأتي معها، حيث يطمئن الله عباده بأن الشدة لا تدوم، وقد ضرب الله مثلاً بنبيه صلى الله عليه وسلم الذي قاسى من الكفار شدة، ثم أعقبه الله باليسر والنصر عليهم [Quran سورة الشرح 6].",
QUR-E-07,Quran,Easy,ما الآية التي تنهى عن الاقتراب من الزنا؟,Quran,quran,quran,True,1.0,single_source,beae986c-2b4f-4280-a820-e19c0e73f5f5 | 1d08dd1b-aa48-4a21-92a9-b8775d0609a3 | 07cf1be2-872d-4380-9259-fec8b101c019 | 056f7d0f-d3b7-4c50-97d2-e1d928f8c6fc,[Quran سورة الإسراء 32],0.0,0.0,0.0,0.0,llm_judge,,,,6486.58,"الأدلة من القرآن الكريم: الآية التي تنهى عن الاقتراب من الزنا هي قول الله تعالى في سورة الإسراء: ""وَلَا تَقْرَبُوا الزِّنَا إِنَّهُ كَانَ فَاحِشَةً وَسَاءَ سَبِيلًا"" [Quran سورة الإسراء 32]. وقد أوضح المفسرون أن هذا النهي عن ""القرب"" من الزنا أبلغ في التحريم من مجرد النهي عن فعله، حيث يشمل سد كل الذرائع والطرق التي قد تؤدي إليه، واصفاً إياه بأنه فعل قبيح وطريق سيئ العاقبة [Quran سورة الإسراء 32].",
QUR-M-01,Quran,Medium,ما الآيات التي تذكر صفات عباد الرحمن في سورة الفرقان؟,Quran,quran,quran,True,1.0,single_source,247ce10e-1d91-44df-ac03-3c33b9ef262e | df66f796-b094-415e-a2da-04f6332fa50c | 0ccae429-452f-478b-b12e-bfaaea36a06e,[Quran سورة الفرقان 63-77],1.0,1.0,1.0,1.0,llm_judge,,,,48923.74,الأدلة من القرآن: ذكرت سورة الفرقان صفات عباد الرحمن في الآيات من 63 إلى 76، حيث وصفهم الله تعالى بالتواضع والسكينة في مشيهم، والحلم عند مخاطبة الجاهلين لهم، والمداومة على قيام الليل، والخوف من عذاب جهنم، والاعتدال في الإنفاق، واجتناب الكبائر كالشرك والقتل والزنا، والترفع عن مجالس الزور واللغو، والاستجابة لآيات الله بالتدبر والانتفاع، والدعاء بصلاح الأهل والذرية، والحرص على أن يكونوا قدوة للمتقين. وقد وعدهم الله جزاءً على صبرهم بالغرفة في الجنة والخلود فيها [Quran سورة الفرقان 63-77].,
QUR-M-02,Quran,Medium,ما الآيات التي تذكر قصة سجود الملائكة لآدم؟,Quran,quran,quran,True,1.0,single_source,bcd5a876-b755-4c93-9c68-30bf92b8c5d3 | 8112aefa-5f3d-4fbd-94ad-cfff1b55ceec | aebf2e03-84ea-4337-94f6-b297d3ae900a | ee9e2f1d-de15-42e3-a907-01c01685e8f4 | 795e2f1b-0df8-4458-83c6-b89cb2e6f9f8,[Quran سورة البقرة 34-39] | [Quran سورة الحجر 26-44] | [Quran سورة الإسراء 61-65] | [Quran سورة الأعراف 11-18],1.0,1.0,1.0,1.0,llm_judge,,,,8274.48,"لقد وردت قصة أمر الله للملائكة بالسجود لآدم عليه السلام وامتناع إبليس عن ذلك في عدة مواضع من القرآن الكريم، حيث تُبرز هذه الآيات تكريم الله لآدم عليه السلام، وتكشف عن عداوة إبليس وحسده واستكباره.

الأدلة من القرآن:

- في سورة البقرة: {وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ أَبَى وَاسْتَكْبَرَ وَكَانَ مِنَ الْكَافِرِينَ} [Quran سورة البقرة 34-39].

- في سورة الأعراف: {وَلَقَدْ خَلَقْنَاكُمْ ثُمَّ صَوَّرْنَاكُمْ ثُمَّ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ لَمْ يَكُنْ مِنَ السَّاجِدِينَ} [Quran سورة الأعراف 11-18].

- في سورة الحجر: {وَإِذْ قَالَ رَبُّكَ لِلْمَلَائِكَةِ إِنِّي خَالِقٌ بَشَرًا مِنْ صَلْصَالٍ مِنْ حَمَإٍ مَسْنُونٍ * فَإِذَا سَوَّيْتُهُ وَنَفَخْتُ فِيهِ مِنْ رُوحِي فَقَعُوا لَهُ سَاجِدِينَ * فَسَجَدَ الْمَلَائِكَةُ كُلُّهُمْ أَجْمَعُونَ * إِلَّا إِبْلِيسَ أَبَى أَنْ يَكُونَ مَعَ السَّاجِدِينَ} [Quran سورة الحجر 26-44].

- في سورة الإسراء: {وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ قَالَ أَأَسْجُدُ لِمَنْ خَلَقْتَ طِينًا} [Quran سورة الإسراء 61-65].

تُبين هذه الآيات أن السجود كان تكريماً من الله لآدم، وأن إبليس امتنع عن السجود تكبراً وحسداً، معتمداً على قياس فاسد بكونه خُلق من نار وآدم من طين، مما أدى إلى طرده من رحمة الله.",
QUR-M-03,Quran,Medium,ما الآيات التي تذكر أحكام الوضوء والتيمم؟,Quran,quran,quran + hadith,False,0.0,multi_source,4837c3ec-2d96-4b6c-b9b9-63c424b9821d | bd6d66d5-860e-483b-a447-dcb4177d8fc9 | 142693 | 142954 | a5017449-eecb-4837-b766-f6390bd21719,[Quran سورة المائدة 6-6] | [Quran سورة النساء 43-43],1.0,1.0,1.0,1.0,llm_judge,,,,58280.19,"الأدلة من القرآن الكريم التي تذكر أحكام الوضوء والتيمم وردت في موضعين رئيسيين في كتاب الله:

1. سورة المائدة (الآية 6): وهي الآية التي فصلت أركان الوضوء وأحكام التيمم عند فقدان الماء أو وجود العذر، حيث يقول الله تعالى: ""يَاأَيُّهَا الَّذِينَ آمَنُوا إِذَا قُمْتُمْ إِلَى الصَّلَاةِ فَاغْسِلُوا وُجُوهَكُمْ وَأَيْدِيَكُمْ إِلَى الْمَرَافِقِ وَامْسَحُوا بِرُءُوسِكُمْ وَأَرْجُلَكُمْ إِلَى الْكَعْبَيْنِ ۚ وَإِنْ كُنْتُمْ جُنُبًا فَاطَّهَّرُوا ۚ وَإِنْ كُنْتُمْ مَرْضَى أَوْ عَلَى سَفَرٍ أَوْ جَاءَ أَحَدٌ مِنْكُمْ مِنَ الْغَائِطِ أَوْ لَامَسْتُمُ النِّسَاءَ فَلَمْ تَجِدُوا مَاءً فَتَيَمَّمُوا صَعِيدًا طَيِّبًا فَامْسَحُوا بِوُجُوهِكُمْ وَأَيْدِيكُمْ مِنْهُ ۚ مَا يُرِيدُ اللَّهُ لِيَجْعَلَ عَلَيْكُمْ مِنْ حَرَجٍ وَلَكِنْ يُرِيدُ لِيُطَهِّرَكُمْ وَلِيُتِمَّ نِعْمَتَهُ عَلَيْكُمْ لَعَلَّكُمْ تَشْكُرُونَ"" [Quran سورة المائدة 6-6].

2. سورة النساء (الآية 43): وقد تضمنت تشريع التيمم أيضاً، حيث يقول الله تعالى: ""يَاأَيُّهَا الَّذِينَ آمَنُوا لَا تَقْرَبُوا الصَّلَاةَ وَأَنْتُمْ سُكَارَى حَتَّى تَعْلَمُوا مَا تَقُولُونَ وَلَا جُنُبًا إِلَّا عَابِرِي سَبِيلٍ حَتَّى تَغْتَسِلُوا ۚ وَإِنْ كُنْتُمْ مَرْضَى أَوْ عَلَى سَفَرٍ أَوْ جَاءَ أَحَدٌ مِنْكُمْ مِنَ الْغَائِطِ أَوْ لَامَسْتُمُ النِّسَاءَ فَلَمْ تَجِدُوا مَاءً فَتَيَمَّمُوا صَعِيدًا طَيِّبًا فَامْسَحُوا بِوُجُوهِكُمْ وَأَيْدِيكُمْ إِنَّ اللَّهَ كَانَ عَفُوًّا غَفُورًا"" [Quran سورة النساء 43-43].

يُذكر في التفسير أن آية النساء نزلت قبل آية المائدة، وأن آية المائدة جاءت لتفصيل أحكام الطهارة بشكل شامل، بينما جاءت آية النساء في سياق أحكام الصلاة والنهي عن قربانها في حالات معينة [Quran سورة النساء 43-43].",
