id,category,difficulty,question,expected_route,expected_sources,evaluated_source,retrieval_query,returned_ids,returned_citations,recall_at_5,mrr,ndcg_at_5,citation_accuracy,retrieved_chunks_accuracy,metric_source,judge_relevance_grades,judge_reason,judge_error,latency_ms,rate_limit_wait_ms,error
FIQ-E-01,Fiqh,Easy,ما شروط صحة الوضوء؟,Fiqh,fiqh,fiqh,ما شروط صحة الوضوء؟,bd6a6096-b79b-4aca-817d-615d98e15d25 | 89002232-c20a-48ee-b5d3-4bb9b54965b8 | 0da92039-8f30-4eee-a7cd-2bac739ac1a3 | a2750b25-cdbe-4d46-91c3-45a0f0385583 | 050430ac-5234-4b94-950b-60f59ce6efc0,[م.ف.ك — ج44، ص444] | [م.ف.ك — ج44، ص328] | [م.ف.ك — ج44، ص354] | [م.ف.ك — ج44، ص331] | [م.ف.ك — ج44، ص325],1.0,1.0,1.0,1.0,1.0,llm_judge,,,,1536.53,0.0,
FIQ-E-02,Fiqh,Easy,ما نواقض الوضوء في الفقه؟,Fiqh,fiqh,fiqh,ما نواقض الوضوء في الفقه؟,af1a4993-24b6-4937-a43a-7bd375999a0b | c8f87374-00bc-4ac2-8c6b-cc0e968228ee | 93e409e9-3971-4ecb-b083-e396eeb0b751 | 8179a56b-c8d4-426b-b587-d28cd80c419c | 69801462-335f-48fd-b07d-090274e9a172,[م.ف.ك — ج44، ص385] | [م.ف.ك — ج44، ص448] | [م.ف.ك — ج44، ص392] | [م.ف.ك — ج44، ص396] | [م.ف.ك — ج44، ص381],1.0,1.0,1.0,1.0,0.8,llm_judge,,,,1321.3,0.0,
FIQ-E-03,Fiqh,Easy,ما أركان الصلاة؟,Fiqh,fiqh,fiqh,ما أركان الصلاة؟,33b52008-40c8-425b-aa12-34f9c7b31861 | 8ef04807-cebf-4eb3-952c-e74671c25d08 | 23748845-405d-4d9c-8528-00dcf5430db8 | 4470f65b-435d-48df-a330-4c8c5a71b07a | 8e67fd1c-8fe1-4d4c-9cfd-1827a3a384f5,[م.ف.ك — ج28، ص387] | [م.ف.ك — ج28، ص50] | [م.ف.ك — ج24، ص111] | [م.ف.ك — ج24، ص112] | [م.ف.ك — ج13، ص160],1.0,1.0,1.0,1.0,0.8,llm_judge,,,,1020.08,0.0,
FIQ-E-04,Fiqh,Easy,ما مفسدات الصيام في الفقه؟,Fiqh,fiqh,fiqh,ما مفسدات الصيام في الفقه؟,2b2b55d9-3378-46e4-a59a-9ddeb91d83a7 | 6d418cbe-5da5-4ada-8284-4aebf631c5f8 | 17ffd505-b58a-4a04-854b-7f0ffd028589 | 545b4ab3-4d9e-4cc4-aa61-736e440b6154 | 2aa473f8-49ce-4890-af76-7e80239e7b53,[م.ف.ك — ج6، ص288] | [م.ف.ك — ج29، ص61] | [م.ف.ك — ج29، ص384] | [م.ف.ك — ج29، ص28] | [م.ف.ك — ج21، ص375],1.0,1.0,1.0,1.0,0.8,llm_judge,,,,1199.38,0.04,
FIQ-E-05,Fiqh,Easy,ما حكم صلاة الجمعة على المسلم المقيم؟,Fiqh,fiqh,fiqh,ما حكم صلاة الجمعة على المسلم المقيم؟,7449ead9-310e-44a4-82d8-778f4a616bcc | bd636dd3-a5d5-4719-a4c3-db01024ce7b4 | c2dac375-0ee2-4645-8fa2-80b6415a1a87 | 4154f528-4830-47d0-a40a-999403906c37 | 45434b44-9be1-4c76-b89d-23493ad513f2,[م.ف.ك — ج28، ص209] | [م.ف.ك — ج28، ص195] | [م.ف.ك — ج28، ص197] | [م.ف.ك — ج39، ص26] | [م.ف.ك — ج28، ص196],1.0,1.0,0.92,1.0,1.0,llm_judge,,,,981.81,0.0,
FIQ-E-06,Fiqh,Easy,ما شروط وجوب الزكاة؟,Fiqh,fiqh,fiqh,ما شروط وجوب الزكاة؟,42298002-7193-4160-b840-4269e8ede4ff | c3555483-18b7-4c28-aaa1-2e87912b642c | 86af54fb-50ad-472a-a7df-9f84e4ed7dfe | 57d8bde7-d394-403a-a395-182a6ffffa5a | 9d27cb97-4516-4689-b125-7c4861babff1,[م.ف.ك — ج24، ص377] | [م.ف.ك — ج24، ص235] | [م.ف.ك — ج24، ص244] | [م.ف.ك — ج24، ص246] | [م.ف.ك — ج24، ص335],1.0,1.0,1.0,1.0,0.8,llm_judge,,,,1212.72,0.0,
FIQ-E-07,Fiqh,Easy,ما حكم الجمع بين الصلاتين في السفر؟,Fiqh,fiqh,fiqh,ما حكم الجمع بين الصلاتين في السفر؟,10597f8f-c7d3-4634-9ac8-4582b9fb0bc9 | 221b07ce-d9aa-4046-8bce-8b7623d2fe5d | 0ff29eff-9fcf-42da-9024-5a6e52cd3ee2 | cfae1b38-c32d-4b7c-8415-98c8b5a05dc6 | 51e461f7-cfbf-485c-9727-aba937e5a446,[م.ف.ك — ج16، ص287] | [م.ف.ك — ج16، ص286] | [م.ف.ك — ج16، ص283] | [م.ف.ك — ج16، ص285] | [م.ف.ك — ج26، ص34],1.0,1.0,0.92,1.0,1.0,llm_judge,,,,1018.14,0.0,
FIQ-M-01,Fiqh,Medium,ما الفرق بين الفرض والسنة في أفعال الصلاة؟,Fiqh,fiqh,fiqh,ما الفرق بين الفرض والسنة في أفعال الصلاة؟,f7146365-13f6-41ff-8fae-bf05595b159b | 749355d2-b9db-4e32-af84-514177f761a8 | 06b99a1d-068e-49c3-a22f-1ef1bc77734b | 7c7df2a5-5746-44d0-9ff7-b361f35f2061 | 886e2c7a-a854-4479-9367-e8056b8240cb,[م.ف.ك — ج6، ص164] | [م.ف.ك — ج26، ص263] | [م.ف.ك — ج43، ص81] | [م.ف.ك — ج28، ص83] | [م.ف.ك — ج28، ص388],0.8,0.5,0.68,1.0,0.8,llm_judge,,,,1212.26,0.0,
FIQ-M-02,Fiqh,Medium,ما شروط صحة التيمم؟,Fiqh,fiqh,fiqh,ما شروط صحة التيمم؟,c06f4689-a813-48b9-8156-b6aebc4a1850 | f169dc27-e1d1-40ef-ab9f-ffe9e898555b | 8d843b21-3aca-4524-8ed1-1d2d0a0e994b | 46a9ab17-ad4d-40bb-bb83-a890b7a9f1b6 | 0ad3b76b-b15b-4feb-a042-76ffd1927342,[م.ف.ك — ج15، ص249] | [م.ف.ك — ج15، ص257] | [م.ف.ك — ج15، ص320] | [م.ف.ك — ج15، ص247] | [م.ف.ك — ج13، ص160],1.0,1.0,1.0,1.0,0.8,llm_judge,,,,1129.96,0.0,
FIQ-M-03,Fiqh,Medium,ما حكم من أكل أو شرب ناسيا في نهار رمضان؟,Fiqh,fiqh,fiqh,ما حكم من أكل أو شرب ناسيا في نهار رمضان؟,fffc2428-ceb9-44fe-b455-56f1f1743123 | e35a2a4b-df8e-47ea-b3c6-758f546dc226 | ca5f7ac7-e621-4547-a8b5-d397e227fd86 | 4335dd97-a3aa-4194-9ade-863ae9395d47 | 13ae73ea-c91e-4b24-8db6-8b10075ba10a,[م.ف.ك — ج41، ص279] | [م.ف.ك — ج29، ص59] | [م.ف.ك — ج36، ص59] | [م.ف.ك — ج41، ص105] | [م.ف.ك — ج36، ص57],0.0,0.0,0.0,0.0,0.0,llm_judge,,,,1062.79,0.0,
