id,category,difficulty,question,expected_route,expected_sources,evaluated_source,retrieval_query,returned_ids,returned_citations,recall_at_5,mrr,ndcg_at_5,citation_accuracy,retrieved_chunks_accuracy,metric_source,judge_relevance_grades,judge_reason,judge_error,latency_ms,rate_limit_wait_ms,error
HAD-E-01,Hadith,Easy,ما الحديث الذي يبين أن الأعمال بالنيات؟,Hadith,hadith,hadith,ما الحديث الذي يبين أن الأعمال بالنيات؟,77511 | 77522 | 63939 | 64076 | 64077,[مجموع الفتاوى 18/24] | [عمدة القاري 1/51] | [غاية المرام 401] | [صحيح ابن خزيمة 3/ 376] | [صحيح ابن خزيمة 1/520],1.0,1.0,1.0,1.0,1.0,llm_judge,,,,1935.68,0.0,
HAD-E-02,Hadith,Easy,ما الحديث الذي يذكر علامات المنافق؟,Hadith,hadith,hadith,ما الحديث الذي يذكر علامات المنافق؟,9062 | 19694 | 131881 | 54456 | 20449,[صحيح مسلم 59] | [الترغيب والترهيب 3/42] | [تخريج سنن الدارقطني 1000] | [المحلى 8/29] | [صحيح الجامع 4255],1.0,1.0,0.94,1.0,0.8,llm_judge,,,,1932.61,0.0,
HAD-E-03,Hadith,Easy,ما الحديث الذي يبين فضل التبسم في وجه المسلم؟,Hadith,hadith,hadith,ما الحديث الذي يبين فضل التبسم في وجه المسلم؟,54675 | 49441 | 49258 | 22079 | 150477,[صحيح البخاري 405] | [تخريج الإحياء للعراقي 2/255] | [مجمع الزوائد 8/40] | [تخريج سنن أبي داود 480] | [صحيح ابن خزيمة 2/ 131],1.0,0.3333,0.6506,1.0,0.2,llm_judge,,,,1938.35,0.0,
HAD-E-04,Hadith,Easy,ما الحديث الذي ينهى عن الغضب؟,Hadith,hadith,hadith,ما الحديث الذي ينهى عن الغضب؟,2941 | 29564 | 52049 | 125515 | 29567,[ضعيف الجامع 6249] | [السلسلة الصحيحة 1376] | [صحيح الجامع 693] | [تخريج المسند لشعيب 2556] | [صحيح الجامع 695],1.0,1.0,0.92,1.0,1.0,llm_judge,,,,1639.93,0.0,
HAD-E-05,Hadith,Easy,ما الحديث الذي يذكر أن الطهور شطر الإيمان؟,Hadith,hadith,hadith,ما الحديث الذي يذكر أن الطهور شطر الإيمان؟,27988 | 27972 | 73971 | 27977 | 27981,[تخريج المسند لشعيب 22909] | [صحيح مسلم 223] | [الوهم والإيهام 2/376] | [صحيح الجامع 3957] | [شرح الطحاوية 418],1.0,1.0,1.0,1.0,1.0,llm_judge,,,,2379.58,0.0,
HAD-E-06,Hadith,Easy,ما الحديث الذي يبين فضل طلب العلم؟,Hadith,hadith,hadith,ما الحديث الذي يبين فضل طلب العلم؟,124802 | 143739 | 143718 | 87600 | 143594,[الزواجر عن اقتراف الكبائر 1/96] | [تاريخ دمشق 50/48] | [تاريخ دمشق 25/247] | [صحيح الجامع 6297] | [الترغيب والترهيب 1/73],1.0,1.0,1.0,1.0,1.0,llm_judge,,,,2474.67,0.0,
HAD-E-07,Hadith,Easy,ما الحديث الذي يذكر أن المسلم من سلم المسلمون من لسانه ويده؟,Hadith,hadith,hadith,ما الحديث الذي يذكر أن المسلم من سلم المسلمون من لسانه ويده؟,4720 | 51058 | 5696 | 70011 | 4727,[صحيح مسلم 41] | [صحيح الجامع 6709] | [تخريج صحيح ابن حبان 399] | [تخريج المسند لشعيب 6889] | [صحيح ابن حبان 400],1.0,1.0,1.0,1.0,1.0,llm_judge,,,,1674.54,0.0,
HAD-M-01,Hadith,Medium,ما الحديث الذي يبين أركان الإسلام الخمسة؟,Hadith,hadith,hadith,ما الحديث الذي يبين أركان الإسلام الخمسة؟,69686 | 69710 | 69682 | 69820 | 71445,[صحيح البخاري 8] | [معارج القبول 614/2] | [صحيح مسلم 16] | [سنن الترمذي 2609] | [صحيح الجامع 2840],1.0,1.0,1.0,1.0,1.0,llm_judge,,,,2180.5,0.0,
HAD-M-02,Hadith,Medium,ما الحديث الذي يشرح مراتب الدين: الإسلام والإيمان والإحسان؟,Hadith,hadith,hadith,ما الحديث الذي يشرح مراتب الدين: الإسلام والإيمان والإحسان؟,41306 | 4345 | 3217 | 66612 | 4003,[مجموع الفتاوى 10/269] | [حلية الأولياء 4/328] | [صحيح مسلم 36] | [الجامع الصغير 1060] | [هداية الرواة 5020],1.0,1.0,1.0,1.0,0.2,llm_judge,,,,2186.09,0.0,
HAD-M-03,Hadith,Medium,ما الحديث الذي يذكر فضل صلاة الجماعة؟,Hadith,hadith,hadith,ما الحديث الذي يذكر فضل صلاة الجماعة؟,34289 | 34305 | 124001 | 68764 | 34271,[صحيح مسلم 649] | [تخريج المسند لشعيب 9150] | [التمهيد 14/138] | [المعجم الأوسط 1/114] | [صحيح الجامع 3817],1.0,1.0,1.0,1.0,1.0,llm_judge,,,,1632.22,0.0,
