id,category,difficulty,question,expected_route,expected_sources,evaluated_source,retrieval_query,returned_ids,returned_citations,recall_at_5,mrr,ndcg_at_5,citation_accuracy,retrieved_chunks_accuracy,metric_source,judge_relevance_grades,judge_reason,judge_error,latency_ms,rate_limit_wait_ms,error
QUR-E-01,Quran,Easy,ما الآيات التي تذكر فرض الصيام في رمضان؟,Quran,quran,quran,ما الآيات التي تذكر فرض الصيام في رمضان؟,0ecd6726-fd19-4c3d-9d49-69985e377c2e | 9fbecabb-2099-4d75-8ec2-6acd6770b3d2 | 50e984a1-7366-4ab3-b4e9-8611d18461e6 | 4686ecaf-d99b-4bb9-9987-0cbf14e9ee17 | e8a8256b-4157-4144-86aa-5aa5d05e2aca,[Quran سورة البقرة 183-186] | [Quran سورة البقرة 183-186] | [Quran سورة البقرة 183-186] | [Quran سورة البقرة 183-186] | [Quran سورة ص 35],0.0,0.0,0.0,0.0,0.0,llm_judge,,,,3188.65,0.02,
QUR-E-02,Quran,Easy,ما الآية التي تنهى عن الغيبة؟,Quran,quran,quran,ما الآية التي تنهى عن الغيبة؟,34707452-4eef-422f-afff-2934ef0d4bf7 | 83b4590a-158e-4505-bd90-2b31c35005d3 | 92041edb-0ee1-4ee9-a3e7-4e8556f2bef7 | a5f9e2d1-b39f-4421-ac44-5bd0d2b9c750 | 9ed46d65-6e25-48ca-9cac-930a6e5fa5ec,[Quran سورة المجادلة 14-21] | [Quran سورة سَبَأ 48-54] | [Quran سورة المجادلة 14-21] | [Quran سورة المزمل 10-14] | [Quran سورة القيامة 16-19],0.0,0.0,0.0,0.0,0.0,llm_judge,,,,2629.59,0.01,
QUR-E-03,Quran,Easy,ما الآية التي تصف الله بأنه نور السماوات والأرض؟,Quran,quran,quran,ما الآية التي تصف الله بأنه نور السماوات والأرض؟,f5719f39-d510-4dc7-85d0-66d8b420535b | bd8bd598-68c9-40f1-9376-d1f5d88f8048 | 78741ad6-7eb8-4a43-9760-96fcea99dd4a | e57e5a89-dc94-41e7-857c-5af1d8072268 | f0832617-260e-4191-8f1a-fe2696996d82,[Quran سورة النور 35-36] | [Quran سورة النور 35-36] | [Quran سورة النور 35-36] | [Quran سورة الحديد 1] | [Quran سورة فصلت 37-39],1.0,1.0,1.0,1.0,0.6,llm_judge,,,,3239.01,50207.51,
QUR-E-04,Quran,Easy,ما السورة التي تبدأ بقول الله: قل هو الله أحد؟,Quran,quran,quran,ما السورة التي تبدأ بقول الله: قل هو الله أحد؟,ba72f1a2-4538-4219-be24-d19730c84dbb | 8d90ba77-4cad-4be7-a3ec-ac74314ddcee | 0738abb8-010f-4623-923a-1ac32c4b8ff5 | de2fb578-9a63-4b96-8f87-9c57a8990390 | e8a8256b-4157-4144-86aa-5aa5d05e2aca,[Quran سورة الإخلاص 1] | [Quran سورة الإخلاص 1-4] | [Quran سورة الصافات 4] | [Quran سورة الفاتحة 1-4] | [Quran سورة ص 35],1.0,1.0,1.0,1.0,0.4,llm_judge,,,,1881.12,713.35,
QUR-E-05,Quran,Easy,ما الآية التي تأمر ببر الوالدين والإحسان إليهما؟,Quran,quran,quran,ما الآية التي تأمر ببر الوالدين والإحسان إليهما؟,653633de-eb94-4252-b7cc-4e28061fb5bb | a9028721-6f92-4346-8bd1-46c5761b771d | c2e05888-ad70-48db-a9d7-307b916855e2 | 1b0616dd-bab0-4a84-83cc-566ed282e6e1 | 63f25109-ca93-4966-99f1-9c2db65e7db7,[Quran سورة الأحقاف 15-18] | [Quran سورة النساء 36-40] | [Quran سورة الأنعام 151-153] | [Quran سورة الإسراء 22-30] | [Quran سورة النساء 36-40],1.0,1.0,1.0,1.0,1.0,llm_judge,,,,3248.93,51490.99,
QUR-E-06,Quran,Easy,ما الآية التي تذكر أن مع العسر يسرا؟,Quran,quran,quran,ما الآية التي تذكر أن مع العسر يسرا؟,ea3c28b0-9950-4d27-a790-ab4d71f64a55 | 0606ee19-65cc-4145-93aa-49205b343e06 | 288f06b2-0eeb-4468-aefa-29acf6409920 | 3916fdcb-7da8-4f6e-aacd-3fd6dcaf80f4 | 45a336d9-5318-4ba3-8ff2-9de5c7d29c07,[Quran سورة الكهف 73] | [Quran سورة الكهف 73] | [Quran سورة الكهف 73] | [Quran سورة الأنعام 44] | [Quran سورة الصافات 50-61],0.0,0.0,0.0,0.0,0.0,llm_judge,,,,2263.79,705.76,
QUR-E-07,Quran,Easy,ما الآية التي تنهى عن الاقتراب من الزنا؟,Quran,quran,quran,ما الآية التي تنهى عن الاقتراب من الزنا؟,beae986c-2b4f-4280-a820-e19c0e73f5f5 | 7470a031-b4eb-4b7a-954c-cb3a71eab1e7 | 9ed46d65-6e25-48ca-9cac-930a6e5fa5ec | e8a8256b-4157-4144-86aa-5aa5d05e2aca | 1b764901-ab7e-46db-b61d-d0631f64fef1,[Quran سورة الإسراء 32] | [Quran سورة الإسراء 31-35] | [Quran سورة القيامة 16-19] | [Quran سورة ص 35] | [Quran سورة الليل 17],1.0,1.0,1.0,1.0,0.4,llm_judge,,,,3052.45,51212.36,
QUR-M-01,Quran,Medium,ما الآيات التي تذكر صفات عباد الرحمن في سورة الفرقان؟,Quran,quran,quran,ما الآيات التي تذكر صفات عباد الرحمن في سورة الفرقان؟,5f8e6f5e-0359-413f-955c-7017e9da72ad | 9a2e9320-9632-45c1-b0ae-a75d2c5428f6 | e50931eb-76bb-41bb-8a59-57ce8c9ad67e | cedcdb3b-cac3-4185-9edb-c3ad90afcfd9 | d176034e-fa6a-444b-8e13-ad6b405b07b3,[Quran سورة الفرقان 63-77] | [Quran سورة الفرقان 63-77] | [Quran سورة الفرقان 1-2] | [Quran سورة الكهف 29-31] | [Quran سورة الصافات 122],0.0,0.0,0.0,0.0,0.0,llm_judge,,,,2231.85,1096.9,
QUR-M-02,Quran,Medium,ما الآيات التي تذكر قصة سجود الملائكة لآدم؟,Quran,quran,quran,ما الآيات التي تذكر قصة سجود الملائكة لآدم؟,bcd5a876-b755-4c93-9c68-30bf92b8c5d3 | aebf2e03-84ea-4337-94f6-b297d3ae900a | a09ffb2f-4a02-4e55-8096-2ae3a0278814 | 826f842f-59f7-43d8-a522-383db4e2346a | 5942d5e7-eec8-4ec1-b73a-14f0ea6ed10d,[Quran سورة البقرة 34-39] | [Quran سورة الإسراء 61-65] | [Quran سورة الكهف 50-53] | [Quran سورة البقرة 34-39] | [Quran سورة البقرة 34-39],1.0,1.0,1.0,1.0,1.0,llm_judge,,,,4086.78,50388.02,
QUR-M-03,Quran,Medium,ما الآيات التي تذكر أحكام الوضوء والتيمم؟,Quran,quran,quran,ما الآيات التي تذكر أحكام الوضوء والتيمم؟,e11ec447-40ca-4aac-9e9c-4c45665a3cfc | 755f9ee6-2013-45ce-b1d6-81cfa69e8f53 | 09a52363-b3eb-4836-9f05-4eeaf0354409 | b35c34b1-cf0a-4915-8e9d-aa4cf55ef4d3 | 9fe6813d-3fa3-4caa-898e-28c3937b5d5f,[Quran سورة المائدة 6-6] | [Quran سورة المائدة 6-6] | [Quran سورة النساء 43-43] | [Quran سورة المائدة 6-6] | [Quran سورة المائدة 6-6],1.0,1.0,1.0,1.0,1.0,llm_judge,,,,2180.57,0.01,
